jobtitle,company,jobindustry,salary,link,scraping_date,searchkeyword,responsibilities,requirements,skills_needed,job_id,employment,seniority,min_salary,max_salary,salarytype
Analyst,THE EDGE PROPERTY PTE. LTD.,Real Estate / Property Management,"$5,000to$7,000",https://www.mycareersfuture.sg/job/analyst-edge-property-65b7234e38c43380e9c4879a5e971e3b,24/4/19,research analyst,"Position: Property Research Analyst Responsible to provide market data, strategic analytical tools, and insightful interpretation to assist EdgeProp with executing client services and business pursuits. The role provides meaningful interaction with senior management and internal and external parties. Responsibilities:  Gather, analyze, interpret, and present real estate trends and information for business development opportunities, client support, and internal analysis Compile and distribute research in the form of narratives, graphics, data summary, etc Analyze market statistic, generate market reports and/or collateral material based on statistical analysis conducted Interface with national research resources to produce standardized market reports and customized client research Create and analyze spreadsheets utilizing data needed to generate graphs, tables, and written analysis and make recommendations to the management Compile statistical data specific to client or service line by translating and converting data to graphs/tables/charts Research coverage areas will include Singapore and other South East Asia asset classes such as residential, commercial, residential and industrial Bachelor's Degree; Industry related field of study preferreds 2-3 years of real estate research or related business experience ",Who are we looking for:  Bachelor's Degree; Industry related field of study preferreds 2-3 years of real estate research or related business experience Good balance of analytical and qualitative connecting of dots and ideas Proficient in Microsoft Office Suite Strong data software applications skills Excellent verbal and written communication skills Effective listening and critical thinking skills xt-align ,"['Financial Modeling', 'Analysis', 'Management', 'Financial Analysis', 'Microsoft Excel', 'Project Management', 'Microsoft Office', 'Data Analysis', 'Strategy', 'Valuation', 'Leadership', 'Business Analysis', 'Business Strategy', 'Corporate Finance', 'Investment Banking', 'Strategic Planning', 'Research', 'Investments', 'Process Improvement', 'Equities']", JOB-2019-0074730 ,Full Time,Manager,5000,7000,Monthly
"Research Analyst, Singapore",Company Undisclosed,Advertising / Media ,"$6,000to$9,000",https://www.mycareersfuture.sg/job/research-analyst-singapore-c51a591920bbc330bf8e808d126a384b,24/4/19,research analyst,"Working closely with our sales, marketing and comms team, the Research analyst will help to develop and evaluate research capabilities. Our team mission is to prove and improve the value of our product to clients and the marketing community.   Responsibilities:   - Audience research: Develop and maintain insight that fuels sales effectively describing our audience in terms of demographics, psychographics, insights, other trends/dimensions and tweet data.  - New Research Product Development: Working with product managers and revenue engineers in the development of new advertising research products. - Research Product Launch: As new research products approach broader launch, train sales team on the process for execution of research projects with new measurement solutions. - Data Analysis: Analyse and package findings and norms uncovered by newly-developed research products for external consumption. - Case Studies: Package key client success stories for pre-sale conversations based on the research capabilities available. - Measurement Portfolio: Understand relationship between the repertoire of our advertising measurement solutions and how different research products can best predict key client objectives. - Product Feedback: Apply research capabilities to evaluate and optimise the our Ads product, using research insights as a barometer for the health of our ads product and identify opportunities for enhancement.","Qualifications:  - BA/BS, MA/MS/MBA degree preferred - Possess the knowledge and point-of-view about social media landscape, other digital media, social media marketing, digital media research/measurement and methodological considerations. - Has to be a team player with an ability to build internal networks to accomplish goals through collaboration with resources across teams. - Strong communication skills and high comfort level presenting. - Fluency in Mandarin (business level). - Demonstrated ability to think strategically about a particular industry and/or product set. - Ability to sift through large quantities of data to tell meaningful stories. - Organised, responsible, with a focus on adhering to project timelines. - A self-starter who takes initiative and is action-oriented. - Self-driven and solution-oriented and can overcome obstacles to drive projects through completion. - Knowledge of statistical packages (SPSS, R, etc) and data query languages (SQL, etc) is a plus. - Knowledge of inferential statistical techniques (regression analysis, ANOVA, etc) is a plus.","['Market Research', 'Data Analysis', 'Analysis', 'Strategy', 'Marketing', 'Analytics', 'Marketing Strategy', 'Competitive Analysis', 'Project Management', 'Business Development', 'Strategic Planning', 'Business Strategy', 'Leadership', 'Management', 'Research', 'Microsoft Office', 'Microsoft Excel', 'Cross-functional Team Leadership', 'Market Analysis', 'Marketing Research']", JOB-2019-0074969 ,Full Time,Executive,6000,9000,Monthly
CIB – Economic Research Analyst,"JPMORGAN CHASE BANK, N.A.",Banking and Finance,"$7,500to$8,000",https://www.mycareersfuture.sg/job/cib-%E2%80%93-economic-research-analyst-jpmorgan-chase-bank-na-c3ced2f1aaa4474fcf38340cf09a330c,24/4/19,research analyst,"About J.P. Morgan’s Corporate & Investment Bank (CIB)   J.P. Morgan’s Corporate & Investment Bank is a global leader across banking, markets and i world’s most important corporations, governments and institutions entrust us with their business in more than 100 countries. With nearly $20 trillion of assets under custody, the Corporate & Investment Bank provides strategic advice, raises capital, manages risk and extends liquidity in markets around the world.     About J.P. Morgan Research J.P. Morgan’s award-winning Global Research provides clients with informed views and actionable ideas on economic indicators, markets, companies, and asset classes around the world. Research is the foundation for everything we do for our clients. From up-to-the-minute original trade ideas, to longer-term thematic pieces that explain the financial markets in depth, our mission is to constantly offer new and original ways for investors to build value.    What you can expect This role sits within the front office and you will partner closely with various internal parties and provide up to date, industry leading research. You will be assigned to the Economics research team, working closely with the economists on analyzing data, building models and writing research reports as well as responding to internal and external client requests. You will be able to recognize critical data points, analytical concepts and come to a logical conclusion through the process.   Responsibilities:  Work on data and models covering various aspects of the economy; analyze a wide range of economic and financial topics; evaluate economic development and macro policy implications. Learn how to apply economic knowledge to real world issues. Maintain the macro team’s database Responsible for formatting and populating our publications with data and tables Analysis of economic trends and to assist the team with research work, including data analysis Macro country coverage, which includes publishing trends and country reports. Interaction with stake holders – including both internal and external clients   ","Qualifications:   We are looking for candidates with Bachelor’s degree or above in economics, finance or related field. Here are the qualifications:  Strong quantitative and analytical skills, relevant research experience and econometrics skills preferred. Familiar with various database such as CEIC, Haver, Bloomberg, Wind, etc., and able to search resources on internet effectively. Proficient in Word, Excel, Outlook, PowerPoint, and EViews, and willing to learn other statistics software. Strong communication skills, both written and verbal. Strong attention to detail. Excellent problem solving and time management skills. Adaptability and ability to work well under pressure and meeting tight deadlines. Self-directed, highly motivated, and able to work independently. Fluency in English.  We strongly encourage all applicants to apply via our careers website where you are able join our Talent Network to receive customized vacancy notifications and ensure that your details are accessible by our global recruiting team - www.jpmorganchase.com/careers. 　 A quick link to this particular job posting can be found in this URL: http://jobs.jpmorganchase.com/ListJobs/ByKeyword/190032984/  Please note that only short-listed candidates will be notified. We thank you for your interest and wish you all the best in your career.  Yours Sincerely, Human Resources JPMorgan  ","['Financial Modeling', 'Analysis', 'Management', 'Financial Analysis', 'Microsoft Excel', 'Project Management', 'Microsoft Office', 'Data Analysis', 'Strategy', 'Valuation', 'Leadership', 'Business Analysis', 'Business Strategy', 'Corporate Finance', 'Investment Banking', 'Strategic Planning', 'Research', 'Investments', 'Process Improvement', 'Equities']", JOB-2019-0071677 ,"Permanent, Full Time",Professional,7500,8000,Monthly
Conference Content Research Analyst,CLARIDEN GLOBAL PTE. LTD.,Others,"$3,500to$5,000",https://www.mycareersfuture.sg/job/conference-content-research-analyst-clariden-global-7b3b5f7319696dad4248034e2f2d3ead,24/4/19,research analyst," Responsible for researching and curating compelling marketing content and communication deliverables (event brochures, email marketing copies, press releases) for business conferences globally Work in close collaboration with Conference Production and Marketing team to brainstorm and shape engaging marketing content Track and analyze marketing campaign results to review and improve effectiveness of content created Build new marketing strategies in the area of structure, content and channels   "," At least 5 years of copywriting experience with strong research background University degree in Communications / Marketing / Journalism Experience in conference or event copywriting / journalism / content editing is required Strong writing ability and content development skills Keen interest to conduct research on a variety of business topics Excellent in managing and co-ordinating projects Organised, meticulous and high level of drive to excel Demonstrate independence and ability to work well in a team ","['Editing', 'Social Media', 'Journalism', 'Editorial', 'Blogging', 'Copy Editing', 'Publishing', 'Copywriting', 'Public Relations', 'Magazines', 'Research', 'Final Cut Pro', 'New Media', 'Television', 'Film', 'Video', 'Writing', 'Press Releases', 'Publications', 'Digital Media']", JOB-2019-0071572 ,Full Time,Manager,3500,5000,Monthly
"Senior Analyst, Oil Research",REFINITIV ASIA PTE. LTD.,Banking and Finance,"$7,000to$10,000",https://www.mycareersfuture.sg/job/senior-analyst-oil-research-refinitiv-asia-d26179ec190719aa74bb4918dd11cb6d,24/4/19,research analyst," Produce the daily real-time Oil Flow assessments, working with the Dirty Oil Products team Studying and making assessments of vessel flow movements Produce Price Forward Curves for the Crude Oil market Interact with market participants regularly, as part of the assessment process Leveraging deep domain expertise, vast data resources, and the Eikon platform Act as trusted partners of commodities professionals worldwide  "," 3-5 years of experience in the physical Crude Oil market from the trading and/or reporting perspective Sound knowledge of Crude oil flows globally and deep market-level contacts from across the trading spectrum, encompassing front-line traders to the broad shipping community Analytical and numerate with good Excel skills, to form short-term views of the Crude Oil market Excellent verbal and written communication skills with the ability to communicate those views clearly and concisely via regular reports to a professional audience Team player Degree or Masters ","['Analysis', 'Management', 'Project Management', 'Business Analysis', 'Strategy', 'Data Analysis', 'Financial Modeling', 'Financial Analysis', 'Analytics', 'Leadership', 'Process Improvement', 'SQL', 'Strategic Planning', 'Risk Management', 'Business Strategy', 'Valuation', 'Business Intelligence', 'Program Management', 'Microsoft Office', 'Microsoft Excel']", JOB-2019-0071682 ,Permanent,Executive,7000,10000,Monthly
Research Analyst (Korean Speaking),IHS MARKIT ASIA PTE. LTD.,Banking and Finance,"$50,000to$60,000",https://www.mycareersfuture.sg/job/research-analyst-ihs-markit-asia-1f06e8aa522a8c5a78b30097aad642f2,24/4/19,research analyst,"Department overview: IHS Markit’s Corporate Actions service is a best-in-class centralized source of validated corporate action announcements for nearly two million equities, fixed income, and structured finance securities across global markets.  MCA services customers as a single source that streamlines operations for the collection, validation and dissemination of corporate actions.   Position summary The Markit Corporate Actions Product Services Team has an established presence in London, New York, India, Dallas, and Singapore. This team is responsible for corporate actions validation operations, customer support and new client onboarding, vendor management, quality control, and strategic support for new product initiatives.   The validation operations team monitors domestic and international corporate actions announcements from the point of notice of inception and conducts a stringent cleansing process.   The successful candidate ensures that the state of each corporate action announcement record clearly defines the terms of the corporate action in order for customers to pass notification on to their clients to conduct investment decisions and to allocate entitlements resulting from the corporate action.   The ideal candidate will be eager to learn and partake in a new initiative, collaborating in close partnership with colleagues across the globe.  Duties & Responsibilities  Review corporate action announcements and conduct research to obtain details required to validate and complete announcements for publication of composite records to customers Utilize various research sources (prospectuses, information circulars, exchange bulletins), including internet search engines and websites to successfully validate the corporate action Interface with Domestic and Foreign Paying/Transfer/Information Agents, Vendors, Custodians, Banks, Exchange Officials, and with high ranking Issuer Officers (CFO, CEO), including Legal Counsel to obtain corporate action specifics Review daily exception reports; research and resolve exceptions Interface with external customers via emails and phone calls to address their questions on data integrity, service procedure and market practices. Collaborate with local and global teams to improve procedures and identify and implement opportunities to realize efficiencies and improve quality for a better downstream product Contribute to user acceptance testing and special projects in partnership with Product Services teammates in other locations and with local technology counterparts Contribute to quality assurance testing and special projects in partnership with Product Services teammates in other locations and with local technology counterparts Understand Service Level Agreements (SLAs) and their impact on revenue and operations   ","Education and Experience  Graduate degree/ Post Graduate or equivalent, preferably in Finance, Economics or Business Fluent in speaking, reading and writing in Korean to conduct research and support customers.   Knowledge of equities and fixed income markets Experience working with equities and fixed income markets preferred; knowledge of corporate actions a plus Strong research and data mining skills required Working Experience of Excel, SQL and VBA preferred Knowledge of ISO/Swift feeds a plus Experience in client service or partnering with technology counterparts a plus    Commercial Awareness Proven interest in financial markets and desire to increase knowledge of equities and fixed income","['Research', 'Matlab', 'Algorithms', 'LaTeX', 'Machine Learning', 'Computer Science', 'Teaching', 'Data Analysis', 'C++', 'Programming', 'Science', 'Java', 'Statistics', 'Python', 'Artificial Intelligence', 'Project Management', 'Microsoft Office', 'Software Engineering', 'C', 'Data Mining']", JOB-2019-0068793 ,"Permanent, Full Time","Executive, Junior Executive",50000,60000,Annually
Senior Research Analyst,BLACKBOX RESEARCH PTE LTD,Professional Services,"$3,500to$5,000",https://www.mycareersfuture.sg/job/senior-research-analyst-blackbox-research-5094f41ec6388cd8a63267c4277ae6ff,24/4/19,research analyst,Blackbox Research Pte Ltd is looking for talented and motivated researchers with 2-5 years’ experience to join our team.  Candidates should have strong interest in quantitative consumer research servicing commercial clients.,"Roles and Responsibilities  Work closely with the project leader and other team members to develop research designs for research projects.   Project manage the process of research design and fieldwork preparation (e.g. questionnaire design, logistics), translate survey results into concise research outcomes and work on project reports and presentations for the client. Work closely with our data analysts to make sense of the data and produce insightful data visualizations for our reports. Analyse and summarise research observations to produce interim and final research reports in collaboration with your team on tight deadlines. Prepare presentations for client pitches, project tenders and research outcomes. Take responsibility for project management and client interaction at various project stages. ","['Market Research', 'Data Analysis', 'Analysis', 'Strategy', 'Marketing', 'Analytics', 'Marketing Strategy', 'Competitive Analysis', 'Project Management', 'Business Development', 'Strategic Planning', 'Business Strategy', 'Leadership', 'Management', 'Research', 'Microsoft Office', 'Microsoft Excel', 'Cross-functional Team Leadership', 'Market Analysis', 'Marketing Research']", JOB-2019-0039325 ,Full Time,Executive,3500,5000,Monthly
Equities Research Analyst (Healthcare),Company Undisclosed,Banking and Finance,"$10,000to$15,000",https://www.mycareersfuture.sg/job/equities-research-analyst-654244c4490d023428bc20fe9f9169ca,24/4/19,research analyst,"As part of Equities team, the selected candidate will be focused on equities research for the healthcare sector in Asia and globally.  He/She should have a strong track record in stock picking with the goal of generating absolute and relative outperformance.  Idea generation and conduct in-depth fundamental analysis as well as thorough financial modeling of companies in the healthcare sector in Asia and globally.   Keeping a close eye on business trends, competition and new regulatory policy impacting the covered sector Conduct company visits and/or conference calls with management of companies under coverage Prepare detailed and extensive research report, and present/propose individual stock ideas that have been comprehensively analyzed in a convincing and thorough manner to Portfolio Managers Engage industry consultants Assist Portfolio Manager in portfolio management duties "," You should have 8 to 10 years of relevant experience covering the healthcare sector in Asia You have a good eye for details, possess strong analytic and quantitative skillset  You should be proficient with advanced computer software such as spreadsheets and database programs You are highly driven, resourceful, able to work under time pressure and operate effectively in a dynamic working environment You are a passionate team player and a self-starter, with strong oral and written communication skills. ","['Financial Modeling', 'Equities', 'Valuation', 'Equity Research', 'Investments', 'Financial Analysis', 'Portfolio Management', 'Corporate Finance', 'Bloomberg', 'Capital Markets', 'Equity Valuation', 'Hedge Funds', 'Asset Managment', 'Emerging Markets', 'Finance', 'Asset Management', 'Business Strategy', 'Microsoft Excel', 'Economics', 'Investment Banking']", JOB-2019-0016790 ,Permanent,Professional,10000,15000,Monthly
Research Analyst,FCS CAREERS PTE. LTD.,Marketing / Public Relations ,"$3,000to$4,200",https://www.mycareersfuture.sg/job/research-analyst-fcs-careers-48cd77a500c47544fbd9b4c57adb9e71,24/4/19,research analyst,"About the Company Our Client is an award winning local research agency who is looking for talented and motivated individuals to join their expanding team. The company deals with research into various areas and location, ranging from government agencies to international companies and NGOs of various countries. Responsibilities The Research Analyst will be reporting to the Research Manager on project management, analysis and proposal preparation. Duties includes but not limited to the following: •    Manage project process from research design and fieldwork preparation to final deliverables to client •    Make sense and produce insightful data visualizations for reports with the data provided by data analysts •    Liaise with different parties involved at different stage of the project •    Develop and maintain positive relationships with clients, acting as the main point of contact •    Analyze and summaries research findings to produce interim and final research reports while working with your superior •    Translate survey results/data into actionable insights for clients •    Be involve in the presentation to clients of the findings •    Assist your superiors in getting quotations from vendors •    Prepare the required documents for client meeting  "," •    A Bachelor’s degree or higher, in Business Administration, Psychology, History, Economics, Media, Communications or Political Science. •    At least 1 year working experience working in an agency •    Good command of the English Language (Spoken and Written) •    Able to multi-task and prioritize tasks within tight timelines •    Able to work independently and within a team •    Meticulous and is able to spot errors in data •    Motivated and willing to learn constantly on the job •    Solution-oriented and proactive on the job •    Possess Strong writing capabilities and able to synthesise information accurately Employment Details •    Working hours: Monday to Friday, 9 am to 6 pm •    Working location: D14 – Eunos, Geylang, Payar Lebar  Get in touch with us If you’d like to explore this opportunity, please reach out to Ng Wu Fong (R1879607) at wufong.ng@fcs-careers.com for a confidential discussion. FCS CAREERS PTE LTD (EA 94C4359)  ","['Market Research', 'Marketing', 'Social Media', 'Marketing Strategy', 'Microsoft Office', 'Project Management', 'Social Media Marketing', 'Research', 'Management', 'Business Strategy', 'Marketing Communications', 'English', 'Leadership', 'Microsoft Excel', 'Business Development', 'Online Marketing', 'PowerPoint', 'CRM', 'Customer Service', 'Marketing Research']",Recruiter,Permanent,Executive,3000,4200,Monthly
Research Associate Analyst - Politics & Government,CHANDLER MACLEOD GROUP PTE. LTD.,Others,"$5,000to$7,000",https://www.mycareersfuture.sg/job/research-associate-analyst-politics-government-chandler-macleod-group-84dd4db21d33994d1f5b0e11cadbd52d,24/4/19,research analyst," 1 Year Contract Salary budget up to $5,800 monthly Global digital and social media firm  As a leader in digital and internet industry, this innovative and forward-thinking organisation has an exciting role for a Research Associate Analyst to be part of their APAC Politics & Governments business. We are seeking for a highly analytical individual with proven track record in research and analysis role within government sector to join them on a 1-year contract. In return, you will be working for one of the globe's biggest name in modern technology space and get to work in a creative and collaborative environment. Responsibilities:  Your primary task will be researching and ensure authenticity of accounts belonging to politicians and government associations in APAC Using MS Excel and SQL, you will be required to provide in-depth quantitative data analysis and provide recommendations and solutions to improve research process Based on your understanding of APAC political landscape, you will be required to provide team with insights and data querying which will help the business ",":  Bsc. Degree with minimally 2 years of experience in Database Research or Research Analysis or any other similar research role with working experience within government board, political parties or national legislatures Understanding of political landscape in APAC and passion for politics Excellent MS Excel skills and SQL knowledge with ability to drive data and findings single-handedly Analytical thinking, team player and detail-oriented individual You should be keen to commit for 1-year contract role  Shortlisted candidate will be offered 1-year contract role with 12-days annual leave and 14-days medical leave. You will be given a comprehensive medical insurance coverage and the company provides excellent facilities such as free meals and fun working culture Interested parties please click ""Apply Now""  Chandler Macleod Group Pte Ltd, EA Licence: 11C3837 Reference Number: 19113_155376406924689 Contact Details: Juzailah Khatmin (EA Reg. No. R1110441) www.chandlermacleod.com","['Research', 'Data Analysis', 'Matlab', 'Molecular Biology', 'Statistics', 'Science', 'LaTeX', 'Algorithms', 'Cell Culture', 'Biotechnology', 'Biochemistry', 'C++', 'Machine Learning', 'Lifesciences', 'Teaching', 'Project Management', 'Microsoft Office', 'PCR', 'Python', 'Programming']", JOB-2019-0066103 ,Contract,Professional,5000,7000,Monthly
Applied Data Science Associate,DATAROBOT SINGAPORE PTE. LTD.,Information Technology,"$90,000to$150,000",https://www.mycareersfuture.sg/job/applied-data-science-associate-datarobot-singapore-f435347c5bb57a365a10f5a441f14f6f,25/4/19,data science,"Looking to move into Data Science? Want to learn from some of the world’s leading data scientists? Want to work on real problems and have an impact in the real world? Do you enjoy discovering actionable insights from data? Do you like bringing innovative solutions to market and driving adoption? Do you have passion for customer success? Join DataRobot as an Applied Data Science Associate.  At DataRobot, you will undergo a year long training program that will sharpen both your data science and customer-facing skills. We will spend the first six months deepening your understanding of data science as an applied science. We will develop your skills to allow you to have a real-world business impact using data science. This will involve an understanding of the entire data science lifecycle and how to carry out projects that can drive business.  Upon completion of this training, you will spend the next six months working under the direction of our customer-facing data scientist and sales team with our customers. Working with them, you will learn to develop client relationships and deliver practical data science solutions for customers across a variety of industries. You will gain experience leading technical demonstrations of DataRobot, helping clients develop models that add value to their organizations, and integrating those models into client environments.  At the completion of this program, you will work on a capstone project to deliver value to an active customer or prospect. Following the successful completion of this project, you will be promoted to Applied Data Scientist and work as a member of our Customer Facing Data Scientist team.  ","Main   Experience/Training in science, engineering, or computer science Excellent organizational, communication, writing and interpersonal skills Up to 50% travel  Desired Skills  Strong customer interaction skills Fluency with scripting (Python / R) Familiarity with machine learning techniques and use cases Familiarity with a variety of technical tools for the manipulation of datasets Experience with machine learning techniques Hands-on experience building and implementing predictive models ","['Algorithms', 'Software Engineering', 'Computer Science', 'Distributed Systems', 'C++', 'High Performance Computing', 'Java', 'Linux', 'Software Development', 'Python', 'C', 'Machine Learning', 'Programming', 'Parallel Computing', 'Scientific Computing', 'Parallel Programming', 'MPI', 'Agile Methodologies', 'Artificial Intelligence', 'Cloud Computing']", JOB-2019-0087609 ,Permanent,Professional,90000,150000,Annually
Software Engineer in Machine Learning,LEADIQ SINGAPORE PTE. LTD.,Information Technology ...,"$5,000to$7,500",https://www.mycareersfuture.sg/job/software-engineer-machine-learning-leadiq-singapore-fd46a5106f5ea860263dae08acd0213f,25/4/19,data science,"Are you the type of engineer who punches juke boxes to make the music start? Do you consider riding your motorcycle off into the a sunset a personal hobby? Is architecting a system from the ground up no big deal to you? We're looking for full-time software engineer to make this happen. The Product We are on a mission to revolutionize Sales industry using data science. Our product helps our customers to collect and enrich their target prospects. Our internal data processing combines human intelligence and data science to enable our customers to find perfect contact information and save to their existing platforms like Salesforce, etc. The Challenge  We are at an exciting stage in our growth. We are getting traction with big customers, scaling out, and solving increasingly complex engineering problems. Our systems are mostly written in Scala. We have used Kafka as backbone to communicate between our API server and micro-services. Smart architecture design is crucial in order to guarantee our micro-services based systems run smoothly and reliably.  We have very complex integrations with 3rd parties systems like Salesforce, Gmail and etc. These integrations are core to what we're offering to our customers. This position will involve the development and deployment of machine learning technology in areas such as email signature extraction, account recommendation, company domain searching, natural language processing etc.  This position will involve collecting training and test data set using DB scripts or Spark scripts. This position will involve writing APIs for clients to utilize your trained models.  The Stack Scala, Python, Keras, Kafka, Spark, MongoDB, ElasticSearch, Hyperledger, Docker The Team We want team members with attributes like: - Focus on delivering value to the customer  - Strong belief in collaboration  - Passion that drives you to execute and innovate  - Ability to self-manage and take ownership of a feature  - Ability to juggle many projects and responsibilities - Extremely entrepreneurial and self-driven - Not afraid of a steep learning curve  - Passionate about building a big business that transforms the sales industry - Exceptional at writing scalable, production-ready code - Thrive in a fast-paced environment - Avoid over-engineering  - Simple designs and fast execution  - Discipline in following process and documenting your work These personality traits define the culture we are building and are more important to us than a particular set of technical skills. The Responsibilities If you join LeadIQ, you will learn a lot: In terms of technical ability there are many cool tools, technologies, patterns and other great developers that will sharpen your skills. Personally you be given the chance to step up, lead and make your mark in a growing startup as we tackle the challenges in our next phase of growth. On the technical front, we need you skilled in:  Analyze source data and data flows, working with structured and unstructured data Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Apply AI/Machine Learning technology to solve real-world problems Communicate and present models to customers and product team Coordinating with fellow engineering team to make product features that our customers will love to use At least one functional language. We're using Scala (or experience in e.g. Haskell or Clojure). You'll write Scala code to create APIs to access ML models. Python language. Our ML models are built with open source libraries that mostly use Python. Concurrency (futures, actors, basic understanding of threads).  Basic Qualifications  Master’s degree in Computer Science, Computer Engineering, Statistics, Economics, Mathematics or Physics or related field 2+ years of experience with Machine Learning techniques and tools to include one or more of the following: classification, clustering, regression or neural networks  Preferred Qualifications  1+ years of experience with Spark, Kafka, or Elastic Search 2+ years of experience of functional programming with Scala, Haskell or Clojure Demonstrated ability in the application of Machine Learning/AI in real-world industrial settings with large scale data Experience with Agile software development Strong oral, written and interpersonal communication skills and an ability to work in a team environment Comfortable working in an environment where problems are not always well-defined   So if you feel like you're a good fit for us, drop us a line! We love meeting developers who are excited by our product!","If you join LeadIQ, you will learn a lot: In terms of technical ability there are many cool tools, technologies, patterns and other great developers that will sharpen your skills. Personally you be given the chance to step up, lead and make your mark in a growing startup as we tackle the challenges in our next phase of growth. On the technical front, we need you skilled in:  Analyze source data and data flows, working with structured and unstructured data Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Apply AI/Machine Learning technology to solve real-world problems Communicate and present models to customers and product team Coordinating with fellow engineering team to make product features that our customers will love to use At least one functional language. We're using Scala (or experience in e.g. Haskell or Clojure). You'll write Scala code to create APIs to access ML models. Python language. Our ML models are built with open source libraries that mostly use Python. Concurrency (futures, actors, basic understanding of threads). ","['Software Development', 'Java', 'JavaScript', 'MySQL', 'SQL', 'XML', 'Agile Methodologies', 'Linux', 'Project Management', 'HTML', 'UML', 'C#', 'C++', 'Integration', 'Scrum', 'jQuery', 'PHP', 'Unix', 'Software Project Management', 'Web Services']", JOB-2019-0044619 ,Permanent,Professional,5000,7500,Monthly
DevOps Engineer,LEADIQ SINGAPORE PTE. LTD.,Information Technology,"$4,000to$7,000",https://www.mycareersfuture.sg/job/devops-engineer-leadiq-singapore-79663cf59b1c7602db719ab48e46d0ba,25/4/19,data science,"About this job Job type: Full-time Experience level: Mid-Level Role: DevOps Technologies docker- gitlab.ci- scala-ansible-amazon web services Job description Are you the type of engineer who punches juke boxes to make the music start? Do you consider riding your motorcycle off into the a sunset a personal hobby? Is automating stuff from ground up no big deal to you? We're looking for full-time DevOps to make this happen. The Product We are on a mission to revolutionize Sales industry using data science. Our product helps our customers to collect and enrich their target prospects. Our internal data processing combines human intelligence and data science to enable our customers to find perfect contact information and save to their existing platforms like Salesforce, etc. The Challenge  We are at an exciting stage in our growth. We are getting traction with big customers, scaling out, and solving increasingly complex engineering problems. Having great DevOps engineering support is crucial in order to guarantee our micro-services based systems run smoothly and reliably.  Our systems are mostly written in Scala. We have used Kafka as backbone to communicate between our API server and micro-services. We're looking for someone who can drive our infrastructure operations, evaluate new technologies and becomes an important asset to the rest of the engineering team. Data quality is one of the critical factors to make our product successful. We often have needs to process 3rd parties data and clean existing data using Spark. So you need to be comfortable writing code.  The Stack GitlabCI, Docker, Ansible, Kafka, Spark, MongoDB, ElasticSearch, Scala The Team We want team members with attributes like: - Focus on delivering value to the customer  - Strong belief in collaboration  - Passion that drives you to execute and innovate  - Ability to self-manage and take ownership of a feature  - Ability to juggle many projects and responsibilities - Extremely entrepreneurial and self-driven - Not afraid of a steep learning curve  - Passionate about building a big business that transforms the sales industry - Exceptional at writing scalable, production-ready code - Thrive in a fast-paced environment - Avoid over-engineering  - Simple designs and fast execution  - Discipline in following process and documenting your work These personality traits define the culture we are building and are more important to us than a particular set of technical skills. The Responsibilities If you join LeadIQ, you will learn a lot: In terms of technical ability there are many cool tools, technologies, patterns and other great developers that will sharpen your skills. Personally you be given the chance to step up, lead and make your mark in a growing startup as we tackle the challenges in our next phase of growth.      ","On the technical front, we need you skilled in: - 2+ years doing dev-ops in a complex production environment - 2+ years of Docker (Ansible experience is a plus) - 2+ years of Continuous integration and continuous delivery - 2+ years of AWS administration - Scala or Java (but experience in another functional language helps, e.g. Haskell or Clojure) ","['Linux', 'System Administration', 'Windows Server', 'Active Directory', 'Servers', 'VMware', 'Virtualization', 'Troubleshooting', 'MySQL', 'DNS', 'Security', 'Unix', 'Networking', 'Disaster Recovery', 'Network Administration', 'Apache', 'Windows', 'Operating Systems', 'Data Center', 'Microsoft Exchange']", JOB-2019-0061084 ,Full Time,Executive,4000,7000,Monthly
